Name,SMILES
p000137,C1=C(C(=C(C(=C1Cl)Cl)Cl)C2=C(C(=CC(=C2Cl)Cl)Cl)Cl)Cl
p000138,C1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)C2=C(C(=C(C(=C2Cl)Cl)Cl)Cl)Cl
p000139,C1=C2C(=CC(=C1Cl)Cl)OC3=C(C(=C(C=C3O2)Cl)Cl)Cl
p000140,C1=CC(=C(C=C1C2=C(C(=C(C(=C2Cl)Cl)Cl)Cl)Cl)Cl)Cl
p000141,C1=CC(=C(C=C1Cl)C2=CC(=CC(=C2)Cl)Cl)Cl
p000142,C1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)C2=C(C(=C(C=C2Cl)Cl)Cl)Cl
p000143,CC1(C(C1C(=O)OCC2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Cl)Cl)C
p000144,C1=C(C=C(C(=C1C2=C(C(=CC(=C2Cl)Cl)Cl)Cl)Cl)Cl)Cl
p000145,C1=C(C(=CC(=C1Cl)Cl)Cl)C2=C(C(=C(C=C2Cl)Cl)Cl)Cl
p000146,C1=CC(=C(C(=C1C2=C(C(=C(C=C2Cl)Cl)Cl)Cl)Cl)Cl)Cl
p000147,C1=CC(=C(C(=C1Cl)C2=C(C(=C(C(=C2Cl)Cl)Cl)Cl)Cl)Cl)Cl
p000148,C1=C(C(=CC(=C1Cl)Cl)Cl)C2=C(C(=C(C(=C2Cl)Cl)Cl)Cl)Cl
p000149,C1=C(C(=C(C(=C1Cl)Cl)C2=C(C(=C(C(=C2Cl)Cl)Cl)Cl)Cl)Cl)Cl
p000150,C1=CC(=C(C=C1Cl)C2=C(C(=C(C(=C2Cl)Cl)Cl)Cl)Cl)Cl
p000151,C1=C2C(=C(C(=C1Cl)Cl)Cl)C3=C(O2)C(=C(C(=C3Cl)Cl)Cl)Cl
p000152,C1=C2C(=C(C(=C1Cl)Cl)Cl)OC3=CC(=C(C(=C3O2)Cl)Cl)Cl
p000153,C1=CC(=C(C2=C1OC3=C(O2)C(=C(C(=C3Cl)Cl)Cl)Cl)Cl)Cl
p000154,C1=C(C=C(C2=C1OC3=C(O2)C(=C(C(=C3Cl)Cl)Cl)Cl)Cl)Cl
p000155,C1=C2C(=C(C(=C1Cl)Cl)Cl)OC3=C(O2)C(=CC(=C3Cl)Cl)Cl
p000156,C1=C(C2=C(C(=C1Cl)Cl)OC3=C(O2)C(=C(C(=C3Cl)Cl)Cl)Cl)Cl
p000157,C1=C2C(=CC(=C1Cl)Cl)OC3=C(O2)C(=CC(=C3Cl)Cl)Cl
p000158,C1=C(C2=C(C(=C1Cl)Cl)OC3=C(O2)C(=CC(=C3Cl)Cl)Cl)Cl
p000159,C1=C2C(=CC(=C1Cl)Cl)OC3=C2C(=C(C=C3Cl)Cl)Cl
p000160,C1=C2C(=CC(=C1Cl)Cl)OC3=C2C(=CC(=C3Cl)Cl)Cl
p000161,CC1(C(C1C(=O)OCC2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Cl)Cl)C
p000162,C1=CC=C(C(=C1)C2=C(C=C(C=C2Cl)Cl)Cl)Cl
p000163,C1=C2C(=C(C(=C1Cl)Cl)Cl)OC3=C(O2)C(=C(C=C3Cl)Cl)Cl
p000164,C1=C2C3=C(C(=CC(=C3Cl)Cl)Cl)OC2=C(C(=C1Cl)Cl)Cl
p000165,C1=C(C2=C(C3=C(O2)C(=C(C(=C3Cl)Cl)Cl)Cl)C(=C1Cl)Cl)Cl
p000166,C1=C(C=C(C2=C1C3=C(O2)C(=C(C(=C3Cl)Cl)Cl)Cl)Cl)Cl
p000167,C1=C2C3=C(C(=C(C=C3Cl)Cl)Cl)OC2=C(C(=C1Cl)Cl)Cl
